,Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
324,1981,7,1,,,,19.04,4.7,7.2,11.1
325,1981,8,1,,,,17.82,,7.4,11.6
326,1981,9,1,,,,15.87,,7.6,11.8
327,1981,10,1,,,,15.08,-4.6,7.9,10.9
328,1981,11,1,,,,13.31,,8.3,10.2
329,1981,12,1,,,,12.37,,8.5,9.5
330,1982,1,1,,,,13.22,-6.5,8.6,9.3
331,1982,2,1,,,,14.78,,8.9,9.1
332,1982,3,1,,,,14.68,,9.0,8.8
333,1982,4,1,,,,14.94,2.2,9.3,8.9
334,1982,5,1,,,,14.45,,9.4,8.7
335,1982,6,1,,,,14.15,,9.6,8.6
336,1982,7,1,,,,12.59,-1.4,9.8,7.6
337,1982,8,1,,,,10.12,,9.8,7.1
338,1982,9,1,,,,10.31,,10.1,5.9
339,1982,9,27,10.25,,,,,,
340,1982,10,1,10.0,,,9.71,0.4,10.4,5.9
341,1982,10,7,9.5,,,,,,
342,1982,11,1,9.5,,,9.2,,10.8,5.3
343,1982,11,19,9.0,,,,,,
344,1982,12,1,9.0,,,8.95,,10.8,4.5
345,1982,12,14,8.5,,,,,,
346,1983,1,1,8.5,,,8.68,5.3,10.4,4.7
347,1983,2,1,8.5,,,8.51,,10.4,4.7
348,1983,3,1,8.5,,,8.77,,10.3,4.7
349,1983,3,31,8.625,,,,,,
350,1983,4,1,8.625,,,8.8,9.4,10.2,4.3
351,1983,5,1,8.625,,,8.63,,10.1,3.6
352,1983,5,25,8.75,,,,,,
353,1983,6,1,8.75,,,8.98,,10.1,2.9
354,1983,6,24,9.0,,,,,,
355,1983,7,1,9.0,,,9.37,8.1,9.4,3.0
356,1983,7,14,9.25,,,,,,
357,1983,7,20,9.4375,,,,,,
358,1983,8,1,9.4375,,,9.56,,9.5,3.0
359,1983,8,11,9.5625,,,,,,
360,1983,8,17,9.5,,,,,,
361,1983,9,1,9.5,,,9.45,,9.2,3.5
362,1983,9,15,9.375,,,,,,
363,1983,10,1,9.375,,,9.48,8.5,8.8,3.7
364,1983,11,1,9.375,,,9.34,,8.5,4.3
365,1983,12,1,9.375,,,9.47,,8.3,4.8
366,1984,1,1,9.375,,,9.56,8.2,8.0,4.8
367,1984,2,1,9.375,,,9.59,,7.8,4.8
368,1984,3,1,9.375,,,9.91,,7.8,5.0
369,1984,3,29,10.5,,,,,,
370,1984,4,1,10.5,,,10.29,7.2,7.7,5.0
371,1984,5,1,10.5,,,10.32,,7.4,5.2
372,1984,6,1,10.5,,,11.06,,7.2,5.1
373,1984,7,1,10.5,,,11.23,4.0,7.5,5.0
374,1984,7,5,11.0,,,,,,
375,1984,7,19,11.25,,,,,,
376,1984,8,1,11.25,,,11.64,,7.5,5.1
377,1984,8,9,11.5,,,,,,
378,1984,9,1,11.5,,,11.3,,7.3,5.1
379,1984,9,20,11.25,,,,,,
380,1984,9,27,11.0,,,,,,
381,1984,10,1,11.0,,,9.99,3.2,7.4,4.9
382,1984,10,11,10.5,,,,,,
383,1984,10,18,10.0,,,,,,
384,1984,11,1,10.0,,,9.43,,7.2,4.6
385,1984,11,8,9.5,,,,,,
386,1984,11,23,9.0,,,,,,
387,1984,12,1,9.0,,,8.38,,7.3,4.7
388,1984,12,6,8.75,,,,,,
389,1984,12,19,8.5,,,,,,
390,1984,12,24,8.125,,,,,,
391,1985,1,1,8.125,,,8.35,4.0,7.3,4.5
392,1985,1,24,8.25,,,,,,
393,1985,2,1,8.25,,,8.5,,7.2,4.7
394,1985,2,14,8.375,,,,,,
395,1985,3,1,8.375,,,8.58,,7.2,4.8
396,1985,3,28,8.5,,,,,,
397,1985,4,1,8.5,,,8.27,3.7,7.3,4.5
398,1985,4,25,8.25,,,,,,
399,1985,5,1,8.25,,,7.97,,7.2,4.5
400,1985,5,20,7.75,,,,,,
401,1985,6,1,7.75,,,7.53,,7.4,4.4
402,1985,7,1,7.75,,,7.88,6.4,7.4,4.2
403,1985,7,11,7.6875,,,,,,
